Data Download from NCSES Interactive Data Tool

Filters,Selected values
"State","ALL"
"Fiscal Year","ALL"
"Institution Name","ALL"

"Deflator: 2012 Dollars",
"Unit of Measure: Thousands of Dollars",

,"<Fiscal Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973",
"Oregon","Pacific U.","7,792","5,688","7,198","2,367","1,924","2,047","2,491","2,110","1,151","1,924","1,334","868","857","847","1,902","734","999","194","375","338","-","-","-","-","-","-","-","33","67","104","143","186","167","156","145","134","123","112","102","92","101","-","287","57","325","384","491",
"Oregon","Portland Community C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","132",
"Oregon","Portland State U.","44,552","42,596","45,359","53,403","51,410","52,842","54,479","58,489","60,106","58,821","46,918","37,869","32,657","35,871","33,597","25,416","26,101","21,817","21,103","21,125","18,253","13,957","12,472","12,812","11,020","10,152","8,503","6,585","6,334","6,022","5,497","4,758","4,798","4,128","3,407","3,015","3,445","3,912","3,728","3,714","3,681","4,483","4,431","2,737","2,543","1,644","1,692",
"Oregon","Reed C.","2,884","2,367","1,311","3,033","2,911","3,013","2,354","1,837","1,874","1,981","1,154","1,369","1,319","1,241","1,415","1,527","1,431","1,413","1,020","917","524","586","646","712","781","854","930","936","946","967","992","1,019","952","873","786","703","617","955","1,649","1,438","1,279","-","1,046","1,327","1,333","1,336","1,341",
"Oregon","Southern Oregon U.","-","-","-","-","-","861","1,114","1,070","1,356","859","615","961","4,100","3,423","3,776","986","898","722","251","386","419","453","423","380","338","295","251","193","166","90","145","-","-","-","4","42","127","218","231","125","116","-","75","22","17","22","826",
"Oregon","U. Oregon","98,518","101,604","88,907","95,110","76,056","87,966","92,892","105,030","104,995","97,915","90,913","83,719","77,160","73,948","69,844","70,894","62,710","53,945","46,223","46,024","42,811","44,253","42,295","45,986","42,281","44,281","44,599","44,920","39,729","41,378","36,621","31,438","29,476","29,104","26,470","25,375","23,474","21,379","21,205","21,536","20,508","19,047","33,659","32,146","25,763","26,635","26,720",
"Oregon","U. Portland","839","-","-","-","-","-","-","755","1,281","1,254","1,586","1,386","1,509","1,442","984","1,054","899","788","901","707","507","375","411","611","463","365","170","453","257","581","753","1,013","843","656","456","251","33","71","84","92","93","-","129","95","241","-","547",
"Oregon","U. Western States","-","-","-","608","1,028","1,334","1,217","-","874","1,036","853","962","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Oregon","Western Oregon U.","-","-","-","-","-","-","465","2,195","2,024","2,346","569","-","-","-","-","-","-","-","-","-","-","-","-","-","-","57","96","114","131","149","169","191","168","147","125","102","78","71","65","78","77","-","132","171","3,045","2,555","1,504",
"Oregon","Willamette U.","1,739","2,473","2,915","2,321","1,915","1,638","1,926","2,652","1,977","2,142","1,542","922","754","718","655","907","1,152","313","431","341","76","452","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Total for selected values","4,136,728","4,000,764","3,871,282","3,729,204","3,203,325","3,210,700","3,303,398","3,239,240","3,378,950","3,255,021","2,944,676","2,848,879","2,705,135","2,764,355","2,782,404","2,670,672","2,498,473","2,361,067","2,122,820","1,989,337","1,821,774","1,791,819","1,684,155","1,641,983","1,602,076","1,546,751","1,493,340","1,446,654","1,342,881","1,311,798","1,249,240","1,152,940","1,080,632","989,620","845,798","764,278","723,534","701,404","687,903","663,926","643,373","670,078","604,056","594,274","546,513","551,066","529,412",
"Pennsylvania","Allegheny C.","563","971","1,151","957","-","-","-","-","721","525","666","805","889","727","889","1,231","1,180","1,611","1,282","407","961","926","889","857","824","791","757","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Arcadia U.","-","-","-","-","-","-","-","956","1,924","1,716","1,946","2,573","2,649","371","371","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Bloomsburg U. Pennsylvania","-","-","-","-","-","-","621","-","427","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","174","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Bryn Athyn C.","-","-","-","-","-","-","-","-","293","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Bryn Mawr C.","8,765","9,336","10,325","10,258","11,158","8,818","9,289","9,837","8,549","7,779","7,680","8,122","5,017","5,428","6,540","8,749","5,716","4,321","3,843","3,575","5,145","5,620","9,424","4,690","3,344","3,635","3,352","2,593","3,783","2,912","1,458","1,383","1,415","1,015","933","1,064","1,085","1,402","1,094","766","789","802","747","556","898","1,171","1,927",
"Pennsylvania","Bucknell U.","5,008","4,784","4,532","4,263","3,951","4,306","4,223","4,009","5,140","5,677","4,777","3,112","2,599","3,614","2,138","2,208","2,665","2,344","2,245","2,350","1,748","1,622","1,490","1,362","1,231","1,098","959","913","871","834","797","757","773","787","797","817","840","1,024","1,065","1,150","1,058","-","649","842","683","816","1,357",
"Pennsylvania","California U. Pennsylvania","-","-","-","-","-","-","-","-","245","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","136","143","147","154","161","169","140","108","73","38","-","-","-","-","-","-","42","200","67","40","68",
"Pennsylvania","Carnegie Mellon U.","320,240","300,902","303,942","301,288","230,945","242,305","266,598","255,933","247,540","231,806","229,136","223,778","214,236","236,868","231,346","245,073","229,119","232,186","181,580","176,723","186,164","182,578","181,278","186,538","174,849","174,141","171,591","164,236","156,523","157,373","165,598","159,251","146,834","129,191","110,483","101,681","84,562","75,951","79,551","69,331","63,913","69,147","56,922","54,457","51,738","54,471","59,250",
"Pennsylvania","Cheyney U. Pennsylvania","-","-","-","-","-","-","-","259","727","754","557","517","296","309","283","269","253","234","214","195","174","151","128","104","79","54","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Clarion U. PA all campuses","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","110","102","100","99","98","97","79","63","46","28","10","-","-","-","85","-","1,136","1,070","1,662","1,732","1,787",
"Pennsylvania","Dickinson C.","923","-","805","1,257","1,424","1,555","1,543","2,167","2,089","2,194","2,488","2,338","3,157","1,874","2,991","3,297","2,518","1,820","1,915","947","1,241","2,376","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","143","152",
"Pennsylvania","Drexel U.","133,075","141,567","128,374","120,743","122,176","126,514","121,678","116,768","117,226","123,138","110,543","109,836","105,973","108,448","106,752","92,332","87,631","54,860","34,714","31,861","29,327","26,039","25,880","26,402","26,979","29,671","29,475","34,436","29,936","31,536","29,300","27,168","27,702","25,592","21,654","14,929","11,548","10,568","12,375","12,696","10,539","14,341","10,132","9,082","8,185","9,027","9,408",
"Pennsylvania","Duquesne U.","15,087","15,818","15,931","16,132","15,421","14,492","15,391","15,547","17,136","16,444","12,480","12,708","12,083","11,675","11,636","11,494","9,578","7,347","6,270","3,409","2,652","1,723","1,875","1,177","2,004","1,584","855","505","869","876","582","604","626","683","733","794","862","936","1,037","1,183","1,189","1,000","840","927","1,089","783","1,700",
"Pennsylvania","East Stroudsburg U. Pennsylvania","-","-","-","-","-","-","-","-","255","-","-","-","-","-","-","-","184","186","1,206","822","1,161","1,017","872","727","577","423","263","333","307","691","728","823","726","623","513","403","286","161","26","-","-","-","-","-","-","-","20",
"Pennsylvania","Edinboro U. PA","-","-","-","-","-","-","-","-","498","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","161","152","147","144","142","139","119","97","73","49","24","-","17","47","-","-","1,761","1,626","1,404","1,289","-",
"Pennsylvania","Elizabethtown C.","-","-","-","-","-","-","-","-","494","535","318","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","168","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Franklin and Marshall C.","4,488","4,330","4,062","3,561","3,710","2,995","3,415","2,997","3,505","3,923","3,047","2,474","2,344","2,046","2,772","1,703","1,332","1,220","875","1,522","1,865","1,538","1,486","1,443","1,400","1,358","1,315","1,315","1,314","1,327","1,344","1,363","636","553","473","393","309","220","125","180","188","-","738","838","298","582","1,105",
"Pennsylvania","Gannon U.","-","-","-","-","-","-","-","-","453","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Geisinger Commonwealth School of Medicine","-","-","-","2,084","2,072","2,299","2,601","2,777","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Gettysburg C.","1,481","1,397","1,221","-","-","-","-","-","682","847","710","631","558","582","888","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Haverford C.","3,340","2,761","2,262","2,051","2,513","2,456","2,721","2,588","2,818","3,766","1,968","1,482","1,278","1,074","1,440","1,980","1,730","1,499","1,476","1,525","1,446","1,731","1,752","1,472","878","1,307","1,326","1,356","1,386","1,431","1,483","1,539","1,413","1,268","1,110","957","795","623","804","1,036","983","-","679","883","1,230","1,435","1,760",
"Pennsylvania","Indiana U. Pennsylvania","7,228","5,857","2,122","1,171","-","905","1,258","1,809","1,769","1,432","1,817","1,385","677","538","1,374","2,793","1,019","980","947","936","509","680","688","768","486","531","483","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Juniata C.","-","-","-","-","-","-","-","-","476","532","543","407","374","321","825","1,059","642","349","214","215","215","234","249","265","282","301","321","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","King's C. (Wilkes-Barre, PA)","-","-","-","-","-","-","-","-","-","-","-","-","-","235","230","225","219","211","202","193","185","174","163","152","141","129","118","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Kutztown U. Pennsylvania","-","-","-","-","-","-","-","-","268","-","-","-","-","-","-","-","-","-","-","118","126","352","231","239","312","490","264","217","84","187","318","610","578","550","517","488","458","427","402","383","356","-","329","13","7","-","-",
"Pennsylvania","La Salle U.","-","-","-","934","1,030","1,002","1,119","1,156","1,488","1,351","3,001","4,056","3,469","936","-","576","438","25","368","161","319","209","289","450","231","4","429","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Lafayette C.","1,383","1,648","1,696","1,466","1,616","1,847","1,913","1,864","2,473","2,174","1,998","2,123","1,677","1,997","1,965","2,583","3,016","1,658","1,263","852","786","830","806","786","765","746","725","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","55","60",
"Pennsylvania","Lehigh U.","33,994","35,117","34,247","31,096","35,107","35,750","34,613","31,992","32,701","38,843","36,159","40,505","41,419","38,911","44,481","37,802","35,383","27,991","36,418","32,668","36,535","34,689","35,530","47,525","48,864","41,465","44,789","47,267","42,404","42,806","42,369","45,868","43,637","36,454","32,175","29,738","28,328","27,842","22,925","22,267","21,842","21,282","20,749","21,050","16,932","17,656","18,569",
"Pennsylvania","Lincoln U.","-","586","-","-","-","-","948","1,622","1,362","1,483","719","1,005","487","673","602","620","853","886","777","908","1,273","1,812","1,386","1,551","1,138","713","733","1,619","775","1,327","1,251","1,468","1,136","776","396","-","-","-","324","544","284","-","308","467","335","322","291",
"Pennsylvania","Lycoming C.","-","-","-","-","-","-","-","-","199","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Marywood U.","-","-","-","-","-","-","-","-","248","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","MCP Hahnemann U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","46,816","40,684","53,370","36,030","127,497","115,181","66,669","57,379","64,238","62,031","65,412","57,447","50,632","51,650","40,347","35,310","36,769","38,993","30,498","22,344","25,495","20,157","16,800","17,158","17,349","15,589","13,001","14,309","16,521","17,651",
"Pennsylvania","Mercyhurst U.","1,603","-","1,546","1,555","1,896","1,846","1,390","1,539","1,229","2,123","2,079","1,952","1,686","1,886","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Messiah C.","-","-","-","-","-","-","-","-","372","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Millersville U. Pennsylvania","-","-","-","-","-","-","-","-","678","544","581","-","956","784","768","750","728","698","665","635","604","566","525","486","447","406","364","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Muhlenberg C.","-","-","-","-","-","-","-","-","674","508","579","543","569","485","263","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29","160",
"Pennsylvania","PA State U. all campuses","-","-","-","-","-","-","-","-","-","-","805,272","760,724","719,168","729,058","729,703","722,289","660,186","607,931","574,091","547,632","496,791","481,706","456,646","461,772","460,406","430,446","410,125","413,379","406,867","403,522","358,341","319,082","290,714","262,747","207,429","179,706","175,821","166,968","173,309","169,944","165,215","179,983","133,242","128,075","101,763","117,428","120,838",
"Pennsylvania","PA State U. Worthington-Scranton","-","-","-","-","-","-","-","-","-","158","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Peirce C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","88",
"Pennsylvania","Pennsylvania State U., Altoona","-","-","-","-","-","-","-","-","788","698","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Beaver","-","-","-","-","-","-","-","-","892","882","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Behrend","3,039","2,506","3,524","5,080","3,566","4,130","3,148","3,374","3,244","3,397","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Berks","-","-","-","-","-","-","-","-","154","161","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Great Valley School of Graduate Professional Studies","-","-","-","-","-","-","-","-","280","286","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Greater Allegheny","-","-","-","-","-","1,335","1,497","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., Harrisburg","2,497","1,924","1,532","2,415","3,225","2,466","2,192","2,903","3,526","2,845","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Pennsylvania State U., University Park and Hershey Medical Center","845,449","825,124","791,875","779,312","754,882","772,351","823,429","797,679","810,091","801,628","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Philadelphia C. of Osteopathic Medicine","2,815","2,778","2,750","2,320","2,444","2,131","2,569","1,898","2,447","1,330","1,287","1,474","1,896","1,148","1,113","1,134","1,013","1,099","1,172","1,191","1,375","685","924","1,187","1,227","666","1,589","752","643","534","834","645","603","419","213","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Philadelphia U.","-","-","-","-","-","-","-","572","1,591","1,249","737","684","917","953","260","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Point Park U.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","275",
"Pennsylvania","Saint Francis U.","-","-","-","-","-","335","995","1,586","2,877","3,041","3,068","3,338","3,976","4,568","5,698","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Saint Joseph's U.","2,538","1,953","2,232","2,049","1,997","1,917","2,871","2,955","3,132","3,036","2,928","5,533","7,354","8,193","7,314","4,400","3,498","3,335","2,040","1,249","407","790","677","564","448","328","203","184","169","154","138","122","161","192","224","259","298","340","294","248","95","-","144","130","134","168","211",
"Pennsylvania","Salus U.","760","1,168","1,451","1,549","1,200","1,148","1,344","1,337","1,522","1,414","1,453","1,963","1,716","1,823","1,314","1,780","1,485","1,224","1,003","744","402","523","643","771","903","1,043","1,188","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Shippensburg U. Pennsylvania","-","-","-","-","-","-","-","548","1,069","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Slippery Rock U. Pennsylvania","-","-","-","-","-","-","-","-","287","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","76","63","49","33","17","-","-","-","-","-","-","9","10","-","216","235",
"Pennsylvania","St. Vincent C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","790",
"Pennsylvania","Susquehanna U.","-","-","-","-","-","-","-","-","625","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Swarthmore C.","3,742","3,560","3,306","3,031","2,809","3,403","3,356","3,281","3,051","3,105","3,228","2,679","2,311","3,388","3,061","3,304","2,819","1,942","1,211","1,276","1,304","1,323","1,167","1,190","1,218","1,990","1,637","1,637","1,638","1,655","1,678","1,703","1,441","1,148","836","862","858","861","882","930","1,014","-","906","819","814","743","954",
"Pennsylvania","Temple U.","253,098","250,623","248,624","232,589","217,073","216,147","220,222","138,318","137,113","129,567","117,281","105,866","98,148","93,391","99,114","92,808","88,025","78,777","75,426","67,198","70,629","83,716","73,207","77,249","76,171","79,993","77,896","80,091","83,436","77,663","74,106","69,323","63,130","58,578","48,868","48,397","48,245","43,766","39,512","44,031","44,725","48,949","52,067","51,326","55,148","59,171","46,809",
"Pennsylvania","Thiel C.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","215",
"Pennsylvania","Thomas Jefferson U.","151,750","134,907","132,072","115,539","114,164","114,176","87,733","100,506","106,935","107,235","106,510","105,293","116,004","118,786","122,841","132,199","132,130","127,047","111,463","114,792","102,671","92,265","92,991","94,495","91,426","80,879","74,152","61,388","50,234","48,639","47,911","41,029","35,685","22,278","21,933","20,025","30,516","19,020","22,184","22,549","23,869","21,170","22,603","22,991","23,167","19,987","19,339",
"Pennsylvania","U. of the Sciences Philadelphia","3,330","3,333","3,687","3,123","3,890","2,818","3,700","3,610","3,571","2,043","1,895","1,885","1,567","1,399","805","642","549","1,028","718","681","469","476","873","950","1,226","901","1,095","1,347","1,471","1,811","1,268","686","600","763","553","594","497","397","406","355","371","790","407","556","714","622","658",
"Pennsylvania","U. Pennsylvania","1,340,965","1,309,300","1,273,105","1,223,801","824,581","798,949","814,134","847,077","903,030","870,166","798,032","785,294","722,383","773,258","774,858","730,028","707,867","644,364","588,862","551,236","502,248","442,964","397,793","394,122","379,023","357,233","339,275","330,377","301,138","297,451","283,089","269,595","277,554","274,380","238,949","230,563","222,304","229,661","225,685","222,834","211,402","213,664","211,439","221,168","206,461","193,486","161,966",
"Pennsylvania","U. Pittsburgh, Bradford","-","-","-","-","-","-","-","-","244","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","U. Pittsburgh, Pittsburgh","962,313","913,933","870,516","839,946","821,849","826,395","857,683","866,638","916,636","855,776","662,173","636,160","610,895","594,215","602,213","550,317","499,435","493,758","437,139","377,587","326,667","284,051","272,053","259,386","259,447","263,352","259,398","233,571","197,985","184,882","181,289","166,969","147,570","133,033","116,904","101,214","92,669","94,741","84,640","75,375","77,382","80,859","71,629","63,123","58,505","51,608","60,040",
"Pennsylvania","U. Scranton","-","-","-","-","-","-","-","-","225","250","516","440","692","1,146","1,631","1,894","3,281","4,778","4,537","4,312","4,077","3,800","3,503","3,218","2,925","2,627","2,316","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","U.S. Army War C.","890","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Ursinus C.","-","-","-","-","-","-","-","-","605","562","595","844","677","840","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Villanova U.","20,331","18,823","17,635","14,068","13,849","13,214","6,927","8,547","10,237","10,473","10,441","10,059","11,853","10,518","9,695","8,819","7,848","6,762","6,743","6,763","5,172","6,262","2,876","2,788","2,777","2,625","2,423","2,317","2,220","2,183","2,346","1,178","1,323","983","621","575","756","951","953","1,140","769","743","762","705","720","813","1,225",
"Pennsylvania","Washington and Jefferson C.","-","-","-","-","-","-","671","-","950","1,381","1,833","1,609","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","West Chester U. Pennsylvania","6,033","5,757","6,756","5,565","4,780","2,694","1,607","4,591","8,258","5,810","3,225","4,129","2,864","1,630","4,234","5,645","5,304","1,376","995","1,017","1,007","893","680","631","2,670","1,581","1,030","933","829","729","622","508","421","323","220","113","-","-","-","-","-","-","90","83","54","542","267",
"Pennsylvania","Westminster C. (New Wilmington, PA)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Pennsylvania","Widener U. all campuses","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","315","306","285","261","266","92","-","-","-","-","-","-","80","160","245","337","437","244","199","46","78","118","51","136","137","150","-","-","-","-","-","-",
"Pennsylvania","Widener U., Chester","-","-","-","-","-","-","-","-","338","-","199","282","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","138","279","198","209","116",
"Pennsylvania","Wilkes U.","-","-","-","-","-","-","-","-","574","437","213","269","324","256","-","354","523","117","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","120",
"Rhode Island","Total for selected values","347,708","334,223","308,002","436,852","432,576","431,587","470,898","495,366","468,131","446,088","288,858","279,392","274,766","298,737","257,871","250,424","226,668","201,170","178,751","166,114","158,265","148,744","150,414","146,572","138,322","144,688","149,730","143,346","134,370","129,783","130,023","131,299","114,847","107,303","103,712","93,151","90,227","90,268","89,124","82,552","77,970","67,376","64,409","51,335","52,699","49,657","55,336",
"Rhode Island","Brown U.","228,752","222,317","196,659","327,576","326,409","329,409","354,783","365,120","350,689","349,429","197,235","193,665","189,891","217,296","186,362","177,067","151,519","135,077","114,847","104,353","99,947","98,265","95,923","92,400","78,296","78,342","82,925","82,563","75,205","73,445","70,981","70,364","66,806","57,313","51,940","48,718","44,667","43,416","41,612","42,462","37,485","35,983","35,013","28,900","30,068","30,548","35,486",
"Rhode Island","Bryant U.","-","-","-","-","-","-","-","-","322","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","Naval War C.","4,505","4,785","3,928","3,030","2,532","2,639","2,653","2,938","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","Providence C.","928","1,103","939","1,129","1,268","-","966","-","773","954","897","845","860","814","895","337","270","275","193","110","113","82","59","96","50","101","145","119","156","39","29","80","65","43","22","43","41","39","37","35","46","117","30","25","57","121","140",
"Rhode Island","Rhode Island C.","8,440","8,433","8,365","9,386","9,619","8,621","10,206","10,389","8,181","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","Rhode Island School of Design","914","946","1,006","1,011","967","-","-","-","562","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","Roger Williams U.","1,649","1,759","2,735","2,304","2,241","2,467","2,148","2,596","2,677","2,047","1,267","1,229","1,585","2,134","1,692","1,131","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","Salve Regina U.","-","-","-","-","-","-","-","-","328","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Rhode Island","U. Rhode Island","102,521","94,879","94,370","92,416","89,540","88,451","100,140","114,323","104,598","93,659","89,459","83,652","82,431","78,494","68,922","71,889","74,879","65,818","63,711","61,651","58,206","50,396","54,431","54,077","59,976","66,245","66,660","60,664","59,009","56,299","59,013","60,855","47,977","49,947","51,751","44,389","45,519","46,813","47,475","40,054","40,438","31,276","29,366","22,410","22,574","18,988","19,710",
